event_id,time_s,device,evidence,observed_packets,protocols,reasoning,likely_activity,confidence
SOMFY-026,2410.0,somfy,"Burst: 24 packets over 10s, dominant endpoint 192.168.1.158",24,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
SOMFY-027,2700.0,somfy,"Burst: 34 packets over 10s, dominant endpoint 192.168.1.158",34,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
SOMFY-028,2830.0,somfy,"Burst: 26 packets over 10s, dominant endpoint 192.168.1.158",26,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
SOMFY-029,3180.0,somfy,"Burst: 26 packets over 10s, dominant endpoint 192.168.1.158",26,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
SOMFY-030,3610.0,somfy,"Burst: 36 packets over 10s, dominant endpoint 192.168.1.158",36,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
SOMFY-031,3680.0,somfy,"Burst: 34 packets over 10s, dominant endpoint 192.168.1.158",34,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
SOMFY-032,3750.0,somfy,"Burst: 38 packets over 10s, dominant endpoint 192.168.1.158",38,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
SOMFY-033,3820.0,somfy,"Burst: 34 packets over 10s, dominant endpoint 192.168.1.158",34,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
SOMFY-034,4170.0,somfy,"Burst: 38 packets over 10s, dominant endpoint 192.168.1.158",38,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
SOMFY-035,4240.0,somfy,"Burst: 28 packets over 10s, dominant endpoint 192.168.1.158",28,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
SOMFY-036,4310.0,somfy,"Burst: 34 packets over 10s, dominant endpoint 192.168.1.158",34,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
SOMFY-037,4380.0,somfy,"Burst: 38 packets over 10s, dominant endpoint 192.168.1.158",38,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
SOMFY-038,4450.0,somfy,"Burst: 24 packets over 10s, dominant endpoint 192.168.1.158",24,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
SOMFY-039,4590.0,somfy,"Burst: 36 packets over 10s, dominant endpoint 192.168.1.158",36,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
