event_id,time_s,device,evidence,observed_packets,protocols,reasoning,likely_activity,confidence
HUE-022,14120.0,hue,"Burst: 62 packets over 20s, dominant endpoint 239.255.255.250",62,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-023,15030.0,hue,"Burst: 18 packets over 10s, dominant endpoint 239.255.255.250",18,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-024,15930.0,hue,"Burst: 13 packets over 10s, dominant endpoint 239.255.255.250",13,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-025,16830.0,hue,"Burst: 12 packets over 10s, dominant endpoint 239.255.255.250",12,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-026,17720.0,hue,"Burst: 51 packets over 20s, dominant endpoint 239.255.255.250",51,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-027,19530.0,hue,"Burst: 13 packets over 10s, dominant endpoint 239.255.255.250",13,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-028,20010.0,hue,"Burst: 11 packets over 10s, dominant endpoint 239.255.255.250",11,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-029,20430.0,hue,"Burst: 14 packets over 10s, dominant endpoint 239.255.255.250",14,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-030,21320.0,hue,"Burst: 45 packets over 20s, dominant endpoint 239.255.255.250",45,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-031,22230.0,hue,"Burst: 13 packets over 10s, dominant endpoint 239.255.255.250",13,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-032,23130.0,hue,"Burst: 11 packets over 10s, dominant endpoint 239.255.255.250",11,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-033,24920.0,hue,"Burst: 47 packets over 20s, dominant endpoint 239.255.255.250",47,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-034,26730.0,hue,"Burst: 15 packets over 10s, dominant endpoint 239.255.255.250",15,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-035,28520.0,hue,"Burst: 52 packets over 20s, dominant endpoint 239.255.255.250",52,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-036,30340.0,hue,"Burst: 16 packets over 10s, dominant endpoint 239.255.255.250",16,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-037,32120.0,hue,"Burst: 34 packets over 10s, dominant endpoint 239.255.255.250",34,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-038,33040.0,hue,"Burst: 14 packets over 10s, dominant endpoint 239.255.255.250",14,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-039,35720.0,hue,"Burst: 34 packets over 10s, dominant endpoint 239.255.255.250",34,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-040,39320.0,hue,"Burst: 34 packets over 10s, dominant endpoint 239.255.255.250",34,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-041,39340.0,hue,"Burst: 14 packets over 10s, dominant endpoint 239.255.255.250",14,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-042,42040.0,hue,"Burst: 16 packets over 10s, dominant endpoint 239.255.255.250",16,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-043,42920.0,hue,"Burst: 51 packets over 10s, dominant endpoint 239.255.255.250",51,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-044,44740.0,hue,"Burst: 16 packets over 10s, dominant endpoint 239.255.255.250",16,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-045,45420.0,hue,"Burst: 34 packets over 10s, dominant endpoint 239.255.255.250",34,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-046,46520.0,hue,"Burst: 34 packets over 10s, dominant endpoint 239.255.255.250",34,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-047,47440.0,hue,"Burst: 14 packets over 10s, dominant endpoint 239.255.255.250",14,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-048,50120.0,hue,"Burst: 34 packets over 10s, dominant endpoint 239.255.255.250",34,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-049,50140.0,hue,"Burst: 14 packets over 10s, dominant endpoint 239.255.255.250",14,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-050,53720.0,hue,"Burst: 33 packets over 10s, dominant endpoint 239.255.255.250",33,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-051,57320.0,hue,"Burst: 39 packets over 10s, dominant endpoint 239.255.255.250",39,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-052,59140.0,hue,"Burst: 16 packets over 10s, dominant endpoint 239.255.255.250",16,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-053,60920.0,hue,"Burst: 34 packets over 10s, dominant endpoint 239.255.255.250",34,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-054,61840.0,hue,"Burst: 16 packets over 10s, dominant endpoint 239.255.255.250",16,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-055,64520.0,hue,"Burst: 34 packets over 10s, dominant endpoint 239.255.255.250",34,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-056,64540.0,hue,"Burst: 12 packets over 10s, dominant endpoint 239.255.255.250",12,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-057,66210.0,hue,"Burst: 11 packets over 10s, dominant endpoint 239.255.255.250",11,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-058,68120.0,hue,"Burst: 35 packets over 10s, dominant endpoint 239.255.255.250",35,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-059,68140.0,hue,"Burst: 16 packets over 10s, dominant endpoint 239.255.255.250",16,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-060,70840.0,hue,"Burst: 14 packets over 10s, dominant endpoint 239.255.255.250",14,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-061,71720.0,hue,"Burst: 128 packets over 20s, dominant endpoint 239.255.255.250",128,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-062,74440.0,hue,"Burst: 14 packets over 10s, dominant endpoint 239.255.255.250",14,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-063,75320.0,hue,"Burst: 39 packets over 10s, dominant endpoint 239.255.255.250",39,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-064,76340.0,hue,"Burst: 69 packets over 20s, dominant endpoint 239.255.255.250",69,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-065,76410.0,hue,"Burst: 11 packets over 10s, dominant endpoint 239.255.255.250",11,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
